Which West Point class produced Jefferson Davis?	The Class of 1828	class-year
This West Point class, graduating in 1828, produced the future Confederate president.	Class of 1828	class-year
This Confederate president graduated from West Point in the Class of 1828 and feuded with Joseph E. Johnston.	Who is Jefferson Davis?	class-year, person
Which West Point class produced Robert E. Lee?	The Class of 1829	class-year
This West Point class, graduating in 1829, produced a cadet who ranked 2nd with zero demerits.	Class of 1829	class-year
This future Confederate commander graduated 2nd in the Class of 1829 with zero demerits and married Mary Custis.	Who is Robert E. Lee?	class-year, person, trick-clue
Which West Point class produced P.G.T. Beauregard?	The Class of 1838	class-year
This West Point class, graduating in 1838, produced the general who fired the first shot at Fort Sumter.	Class of 1838	class-year
This general fired the first shot at Fort Sumter and served only 5 days as West Point superintendent.	Who is P.G.T. Beauregard?	class-year, person
Which West Point class produced Longstreet, D.H. Hill, Rosecrans, and Pope?	The Class of 1842	class-year
This West Point class, graduating in 1842, produced four notable generals including Grant's friend Longstreet.	Class of 1842	class-year
This Confederate general ranked 54th in the Class of 1842 and was Lee's wingman and Grant's friend.	Who is James Longstreet?	class-year, person
Which West Point class produced Grant, Buckner, and Sherman?	The Class of 1843	class-year
This West Point class, graduating in 1843, produced a future president who ranked 21st of 39.	Class of 1843	class-year
This Union general ranked 21st of 39 in the West Point Class of 1843 and later accepted Lee's surrender.	Who is Ulysses S. Grant?	class-year, person
Which West Point class produced McClellan, Jackson, A.P. Hill, and Pickett?	The Class of 1846	class-year
This West Point class, graduating in 1846, produced 22 future generals — more than any other.	Class of 1846	class-year, count
This general ranked 2nd in the West Point Class of 1846 and was known as the "Young Napoleon."	Who is George McClellan?	class-year, person, nickname
Which West Point class produced George Armstrong Custer?	The Class of 1861	class-year
This West Point class, graduating in 1861, contained a cadet who finished last and was almost expelled.	Class of 1861	class-year
This cavalry commander finished dead last in the West Point Class of 1861 and was almost expelled.	Who is George Armstrong Custer?	class-year, person
What was Ulysses S. Grant's real name at birth?	Hiram Ulysses Grant	person, trick-clue
This Union general was born Hiram Ulysses Grant, had his name mangled by a congressman, and graduated 21st of 39 in the Class of 1843.	Ulysses S. Grant	person, trick-clue
This Union general was born Hiram Ulysses Grant — the "S" was a clerical error that stuck.	Who is Ulysses S. Grant?	person, trick-clue
How many demerits did Robert E. Lee receive during his entire time at West Point?	Zero	person, trick-clue
This Confederate general graduated 2nd in the Class of 1829 with zero demerits and married Mary Custis, great-granddaughter of Martha Washington.	Robert E. Lee	person, trick-clue
This general graduated 2nd in his West Point class with zero demerits and married the great-granddaughter of Martha Washington.	Who is Robert E. Lee?	person, trick-clue
Where did Stonewall Jackson rank in his West Point class?	17th	person, nickname
This Confederate general graduated 17th in the Class of 1846; his nickname "Stonewall" may have been intended as an insult.	Thomas "Stonewall" Jackson	person, nickname
This Confederate general earned his nickname at First Bull Run, graduated 17th in the Class of 1846, and his moniker may have been an insult.	Who is Stonewall Jackson?	person, nickname, trick-clue
What was George McClellan's West Point class rank?	2nd	person, nickname
